f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
B,B,H,H,I,L,P,M,C,H,F,L,I,F,H,L
B,C,H,B,B,M,F,M,H,H,M,N,B,L,H,H
H,P,C,F,B,M,M,F,H,P,C,F,I,F,I,F
C,P,F,F,M,H,L,B,F,O,P,F,I,F,H,B
B,F,C,C,M,M,F,C,B,M,H,F,C,L,M,M
N,A,P,F,H,C,F,K,L,L,M,L,H,M,H,M
H,P,C,F,H,M,M,F,C,M,C,F,I,M,B,F
H,F,M,C,H,P,C,I,M,P,B,M,K,F,H,N
I,N,H,F,I,A,B,H,I,O,D,F,K,C,B,L
M,O,C,C,I,C,F,K,M,P,M,C,K,P,H,C
B,M,H,H,B,C,F,F,H,M,H,P,I,M,B,N
B,L,M,M,H,L,F,B,D,C,L,F,M,N,E,F
B,M,M,H,B,B,C,B,B,N,N,N,C,C,K,M
B,F,H,C,K,P,C,K,F,J,I,F,E,M,E,F
H,L,M,M,C,M,M,H,H,F,C,M,C,M,B,M
I,C,B,C,K,M,M,M,H,C,M,F,I,M,H,L
B,L,C,M,C,M,L,I,F,M,C,F,K,P,A,C
K,H,B,B,K,M,B,D,F,F,K,P,E,M,K,F
F,N,N,L,M,F,C,I,C,P,H,F,I,F,I,F
B,N,C,F,I,B,B,D,P,C,D,N,E,M,I,C
B,H,M,F,K,M,F,B,I,M,J,F,I,L,E,F
F,A,M,M,B,H,P,B,H,L,L,H,B,P,K,F
I,C,H,B,D,L,F,B,K,H,J,F,I,P,E,F
I,C,H,B,H,F,C,B,B,M,C,F,C,M,C,F
M,O,C,M,B,L,F,I,M,N,H,C,K,F,C,M
M,O,F,C,B,O,B,H,I,A,E,M,H,M,E,M
B,M,B,H,D,F,H,A,H,M,J,F,I,L,E,F
H,L,M,M,M,M,L,C,I,H,H,P,B,F,M,F
C,P,L,F,M,F,L,H,B,N,B,B,K,P,I,F
I,H,B,I,K,B,P,D,M,P,P,H,K,N,I,B
I,C,B,B,K,C,L,E,C,A,M,M,E,F,D,M
H,P,H,F,B,M,M,F,H,P,M,M,I,F,B,F
I,H,B,B,K,C,P,D,F,N,L,H,D,L,I,B
K,B,B,K,D,P,M,K,M,P,H,F,D,L,H,P
N,J,O,F,M,F,L,I,B,C,L,C,N,F,K,C
H,F,M,C,C,L,M,B,H,P,B,C,I,M,B,P
B,C,H,H,B,M,C,B,B,C,I,C,K,M,B,M
I,I,I,B,I,M,M,L,C,M,C,M,K,F,L,P
K,B,B,I,I,L,C,B,C,P,B,C,K,F,I,F
C,N,M,F,C,F,H,A,H,C,O,F,I,L,E,F
M,L,C,H,K,M,F,I,F,A,C,M,K,F,H,H
C,L,P,M,O,M,H,I,K,M,H,F,G,M,B,C
I,B,H,I,K,M,C,D,C,P,C,P,I,F,I,F
B,C,C,B,H,M,M,I,B,C,C,F,C,L,C,C
H,P,H,H,K,M,M,I,B,A,M,L,K,L,I,F
H,L,H,B,I,M,M,B,C,P,C,M,H,L,C,H
C,P,C,F,C,B,N,F,I,L,C,H,D,P,I,F
K,B,K,I,D,H,B,H,M,K,K,B,D,M,D,C
H,L,B,B,K,L,M,H,B,L,B,F,B,L,H,F
I,F,B,C,K,F,C,A,H,C,A,F,I,L,E,F
D,E,K,E,E,M,F,I,E,M,F,F,H,L,E,F
K,B,I,I,K,H,P,B,C,P,L,C,D,P,I,C
B,P,H,F,K,C,F,K,M,G,M,L,D,C,D,M
M,N,M,C,B,F,C,K,F,N,C,L,I,L,H,F
I,C,C,B,C,L,B,K,K,F,B,F,F,C,K,M
B,H,C,C,H,M,M,B,C,C,C,M,I,L,F,L
I,M,H,H,I,N,I,K,K,F,K,L,I,B,K,F
B,C,B,F,I,I,M,C,N,M,C,G,E,F,M,M
M,O,H,C,K,P,H,C,B,A,I,F,I,F,H,P
B,F,H,C,K,M,M,C,L,H,C,F,E,F,L,M
B,C,B,F,I,H,L,P,H,F,C,H,K,P,B,F
C,H,F,B,M,M,F,B,B,M,H,F,N,F,H,C
M,P,C,H,B,P,M,B,B,O,B,H,B,N,H,L
B,L,C,M,B,H,F,I,L,P,F,P,K,F,B,C
I,M,H,H,I,N,K,I,K,P,K,L,I,M,I,L
B,F,B,H,K,I,J,M,D,N,M,I,E,P,B,F
H,L,C,C,C,M,C,C,H,M,M,P,F,H,K,F
I,P,B,M,D,E,D,H,C,E,E,M,E,F,E,F
M,O,C,C,B,F,H,B,C,F,B,M,H,C,C,P
I,H,B,H,I,F,C,M,C,M,I,L,K,F,I,F
B,P,M,M,I,M,P,D,F,M,O,F,D,N,K,F
B,H,H,B,I,H,P,B,H,P,F,I,D,P,I,M
B,M,M,H,H,L,O,K,K,C,F,F,F,A,D,M
K,L,I,M,D,G,K,C,H,J,D,L,E,M,E,F
I,M,H,H,K,M,N,D,I,F,N,F,D,P,E,F
K,B,B,I,D,C,I,K,K,H,K,F,K,C,K,C
H,M,M,H,H,H,M,K,C,P,F,N,I,F,I,F
B,F,C,C,B,M,L,K,C,A,C,H,K,P,K,F
B,L,I,B,K,F,M,I,B,P,H,F,I,L,F,N
I,H,H,I,K,N,K,K,K,L,K,L,K,C,K,F
H,P,C,F,H,M,M,M,C,C,H,L,K,F,C,N
H,P,M,M,C,F,M,I,H,C,M,C,B,P,N,F
I,M,B,H,I,M,M,O,D,C,C,F,H,F,E,F
C,L,F,C,F,M,M,C,H,C,M,L,F,C,K,F
K,C,I,B,D,C,J,E,H,F,P,M,E,F,E,F
B,M,B,H,K,H,F,P,L,F,M,C,I,F,B,F
H,L,M,F,C,C,C,H,H,M,B,M,B,F,C,M
I,C,B,B,K,C,M,C,M,C,M,O,D,F,B,P
H,N,C,F,I,M,C,F,L,H,H,P,D,F,C,N
I,H,C,B,I,M,P,B,B,O,B,I,D,P,I,F
B,L,C,C,B,M,M,I,F,H,C,M,I,L,M,C
B,F,C,C,B,L,H,K,M,P,I,L,B,M,H,N
H,H,H,M,K,D,J,H,B,O,P,C,E,F,K,H
H,L,F,C,F,F,M,B,K,M,F,F,H,P,B,F
B,F,H,C,B,C,M,F,C,C,C,F,B,L,C,P
B,M,B,H,K,B,P,K,L,N,P,H,E,P,I,B
K,M,K,H,D,G,I,I,H,O,D,F,E,F,E,F
C,P,F,M,C,N,H,I,M,N,I,M,I,F,C,O
I,H,B,B,B,F,C,H,B,C,C,F,I,L,D,M
H,C,C,F,B,M,M,O,K,M,L,F,L,C,E,F
I,M,H,H,K,L,M,D,F,P,B,M,I,F,I,F
B,H,H,M,K,B,F,F,K,M,B,N,I,F,K,N
H,L,C,M,M,M,M,M,C,M,C,B,I,F,I,F
K,C,I,B,K,M,M,M,C,C,C,F,K,M,C,N
I,B,H,C,D,C,G,D,C,F,N,M,E,F,E,F
M,A,C,M,I,M,B,I,C,N,B,A,K,M,C,F
K,D,I,K,K,F,M,C,B,M,M,F,K,L,L,F
K,D,I,I,K,M,L,H,B,M,C,C,B,F,D,C
K,K,I,I,D,C,O,K,I,F,N,F,K,P,D,L
I,C,B,B,I,M,F,F,M,M,F,M,K,F,B,F
I,I,I,H,K,M,L,J,I,M,I,F,I,F,E,F
I,I,I,K,D,H,F,H,M,L,F,F,I,L,K,H
H,N,C,F,B,C,L,P,H,M,H,F,I,F,C,P
I,L,H,C,B,M,M,I,F,H,C,F,K,F,C,F
B,H,M,B,B,F,M,D,M,P,H,F,I,F,B,F
C,F,L,M,L,C,M,B,B,C,H,F,F,L,H,F
H,N,M,F,H,B,L,C,M,L,N,P,I,L,D,F
E,E,E,D,E,M,M,B,B,M,C,F,E,F,E,F
K,I,B,K,D,L,M,I,B,P,I,C,H,L,E,M
L,A,L,M,C,P,C,B,H,P,K,M,C,M,C,L
L,A,L,M,B,B,L,I,M,P,L,N,H,M,I,C
C,N,C,F,I,B,F,C,F,O,P,A,D,L,I,M
B,L,H,M,C,M,H,P,D,M,F,F,C,H,E,F
B,H,C,B,B,F,C,K,B,L,C,F,M,H,K,F
I,I,B,B,I,C,F,F,M,M,H,M,K,F,L,P
I,L,B,C,K,F,L,C,P,H,H,H,E,M,L,M
M,N,L,F,F,F,F,H,C,P,H,H,C,F,C,N
I,B,B,I,I,B,P,B,K,L,F,M,H,N,D,C
B,L,C,M,H,M,M,M,F,C,H,B,I,F,I,M
D,E,D,D,E,M,M,P,E,H,C,F,B,F,E,F
H,F,C,M,C,M,M,K,H,M,C,F,I,P,F,M
H,P,C,M,H,M,M,F,B,L,C,F,I,F,I,F
C,O,C,C,B,C,F,H,M,L,C,C,H,L,M,H
B,H,H,M,K,B,M,L,K,M,H,N,B,F,K,N
F,J,M,F,H,M,C,H,H,C,M,F,H,M,I,M
C,F,C,C,M,M,P,B,I,L,C,C,F,P,B,H
H,F,M,C,F,M,M,M,H,M,H,F,M,L,F,C
C,L,C,M,B,B,M,H,M,P,L,J,B,L,H,H
I,M,I,H,I,I,F,H,F,M,M,A,E,F,C,L
B,L,I,H,K,C,P,K,H,A,C,B,D,L,B,F
B,F,C,C,K,L,C,K,F,G,B,F,E,M,E,F
P,L,F,A,H,M,L,K,K,M,P,B,B,P,M,M
F,N,F,C,H,L,F,B,H,C,L,C,N,F,I,C
H,H,M,F,B,F,L,M,C,C,F,L,I,M,C,P
C,H,M,B,B,C,P,B,I,F,M,M,L,N,I,H
B,C,H,B,I,C,N,I,H,A,C,B,K,P,K,M
K,H,B,B,K,F,N,D,M,C,N,F,D,N,K,L
M,N,P,F,P,F,M,H,H,C,M,M,N,F,B,C
H,P,M,F,M,P,N,K,K,H,F,F,F,A,K,M
K,B,I,K,K,H,P,B,B,L,F,H,I,P,I,M
B,P,C,F,I,C,P,K,K,M,O,F,D,N,E,F
B,F,B,C,K,B,L,C,M,O,P,O,K,L,I,M
I,K,B,B,K,C,F,H,C,C,F,L,C,P,D,M
H,P,H,H,I,L,F,I,H,A,B,B,I,P,C,M
I,H,H,B,I,L,C,I,C,P,B,F,I,F,I,L
H,H,M,F,L,F,F,H,D,C,C,P,M,A,M,A
B,H,H,B,I,C,M,H,C,L,M,P,K,F,B,L
B,L,B,B,I,P,I,B,K,P,H,N,H,B,B,P
B,P,C,F,B,F,F,B,K,M,F,F,F,L,E,F
D,E,D,D,E,M,C,C,I,M,C,F,K,F,I,F
I,B,B,K,I,F,C,C,B,M,M,L,L,H,D,F
M,P,F,M,B,F,M,B,L,N,B,F,K,F,H,L
K,D,K,K,K,H,M,I,C,M,C,P,I,F,B,P
K,E,K,D,D,M,F,B,E,M,F,F,C,P,E,F
K,K,I,I,K,M,M,H,L,C,C,F,D,F,M,F
H,N,H,F,K,E,A,H,B,A,N,M,E,F,K,H
K,E,K,D,D,M,N,F,K,M,H,F,K,M,B,P
C,N,F,F,C,B,M,K,M,P,P,O,I,F,B,M
B,N,C,F,M,F,M,K,F,M,C,M,D,M,N,M
H,P,M,F,C,F,M,M,C,C,M,M,K,M,F,A
H,L,H,C,B,C,O,B,H,N,L,H,I,O,K,B
B,P,H,M,I,M,M,G,D,M,C,F,I,F,E,F
B,M,H,H,B,M,C,D,C,P,H,P,I,F,B,L
I,C,B,B,K,H,O,M,I,O,C,I,D,P,B,M
H,N,C,L,B,L,H,K,H,C,M,H,D,P,B,M
I,M,H,H,B,M,M,K,M,M,C,F,E,L,L,M
K,I,B,K,K,C,M,K,C,P,M,P,I,F,K,M
I,C,H,B,H,M,M,C,B,M,H,F,H,L,C,F
H,L,H,B,I,C,L,D,I,F,L,M,M,O,D,C
I,B,I,I,K,H,N,K,M,N,L,H,D,N,K,H
H,N,M,F,H,F,M,L,F,M,C,K,B,F,H,L
K,C,I,B,K,L,H,K,E,F,K,F,K,C,D,F
H,H,H,M,B,F,M,O,K,M,L,F,F,C,E,F
B,C,C,F,F,L,L,H,E,C,M,P,C,O,H,P
B,M,C,H,M,M,F,B,D,F,M,F,H,P,H,F
D,E,K,E,E,M,B,K,E,M,K,F,D,C,D,F
I,K,B,B,I,C,M,C,C,M,C,P,I,M,B,L
I,B,B,I,K,F,M,I,L,C,C,C,K,F,C,F
M,O,C,C,B,F,L,B,B,O,H,B,B,P,C,C
H,H,C,F,I,M,M,B,G,L,C,F,E,F,F,F
C,P,L,F,F,F,F,H,C,P,H,H,B,F,H,P
D,I,I,D,D,M,L,B,I,N,H,B,D,L,K,F
C,N,L,F,C,B,L,D,F,P,N,P,I,L,I,H
H,L,H,C,I,K,N,K,I,P,N,F,K,N,D,F
C,N,H,C,I,M,F,B,H,P,M,H,I,L,B,B
N,G,L,F,B,C,P,C,I,N,B,B,H,P,B,M
H,H,C,M,I,B,O,L,K,P,C,B,D,P,B,F
E,I,E,B,E,M,M,B,B,M,C,F,E,F,E,F
B,M,C,H,H,C,C,B,C,C,H,F,M,M,M,L
B,M,C,H,K,L,N,D,M,I,N,F,D,N,K,L
K,H,I,I,K,M,M,H,L,C,C,F,K,F,M,F
I,N,B,L,K,M,F,E,F,A,C,M,E,F,D,M
B,M,H,H,B,L,F,H,I,M,H,M,I,M,F,B
B,F,M,C,B,C,M,D,F,P,F,L,I,F,I,M
H,N,M,F,B,M,P,H,H,O,H,I,D,P,I,F
H,P,M,M,H,M,F,F,H,M,M,L,I,M,B,M
K,K,D,B,D,M,M,D,M,M,C,F,E,F,I,F
B,M,H,H,I,F,K,K,K,M,K,F,K,M,I,C
B,M,C,H,I,F,F,K,F,M,C,M,E,F,B,M
I,M,B,H,I,M,C,N,B,M,O,F,I,L,E,F
B,M,H,L,H,L,M,F,I,H,M,P,I,F,C,P
B,H,M,B,B,C,M,D,M,P,C,L,I,F,I,M
K,B,B,I,D,L,C,I,C,J,H,P,E,M,E,F
F,O,M,C,C,C,M,I,H,M,H,L,C,L,C,C
I,B,B,I,I,M,M,M,C,M,C,B,K,F,I,M
K,C,B,B,I,L,C,B,C,P,B,C,I,F,I,F
I,K,B,I,I,C,L,B,B,L,M,B,D,P,B,M
I,C,H,B,C,C,L,I,I,F,M,C,I,F,L,D
B,L,H,F,H,F,C,F,C,H,B,M,K,F,B,F
I,H,H,B,I,M,M,I,C,P,C,F,I,F,I,F
I,I,H,K,K,F,C,I,C,P,H,F,I,F,I,F
I,C,I,B,K,H,N,M,B,M,I,L,K,M,C,N
H,P,C,M,I,L,C,H,F,N,I,M,K,F,H,N
D,I,K,K,D,C,H,K,F,M,I,L,E,M,K,F
B,M,M,C,M,M,M,I,I,M,H,F,C,F,C,C
M,L,M,M,C,K,N,K,I,P,P,F,C,N,K,M
I,F,H,C,C,M,M,I,H,M,C,P,C,N,C,H
B,L,H,C,B,L,F,H,L,C,C,H,E,M,F,F
H,L,C,M,C,M,H,M,B,M,C,F,I,F,M,P
L,G,F,F,B,L,I,B,M,N,B,P,I,F,F,N
K,C,B,B,H,L,C,I,I,C,C,M,H,L,C,M
H,H,C,F,K,E,E,M,C,E,D,B,E,F,E,F
F,N,M,C,I,N,D,I,B,O,I,N,K,L,B,P
P,A,L,M,B,B,L,B,M,I,I,N,H,F,K,M
I,I,B,D,K,F,M,H,C,M,C,F,H,F,I,M
K,B,B,I,K,C,M,K,M,N,M,L,K,F,B,F
C,P,M,F,M,C,F,C,B,F,M,F,H,L,M,P
I,B,H,K,K,M,F,D,F,P,M,F,K,F,I,M
B,F,H,C,C,F,M,B,M,M,H,F,C,F,C,P
K,D,I,D,E,M,L,B,K,M,A,F,K,P,E,F
H,B,H,C,B,M,L,L,F,M,H,M,K,F,L,L
C,P,C,M,B,L,C,F,C,L,B,M,I,F,B,F
B,B,H,C,K,M,M,G,K,B,C,F,C,F,E,F
I,L,B,C,K,M,M,J,K,H,C,F,C,F,E,F
H,L,M,C,H,M,O,M,K,N,H,I,K,O,B,F
D,E,D,D,E,C,M,F,H,M,C,C,K,F,K,F
B,L,C,F,C,M,C,H,B,M,M,F,I,F,F,P
I,N,H,F,B,F,N,K,I,H,P,F,I,O,D,F
C,L,C,B,H,F,F,B,B,L,C,M,C,M,F,C
B,P,H,M,B,C,F,L,M,M,H,M,K,F,L,L
M,O,C,C,C,F,F,B,H,L,C,M,C,M,F,M
P,J,F,F,H,F,F,M,H,C,P,M,M,A,I,M
B,M,C,H,B,M,L,F,H,C,F,P,I,F,I,F
B,P,C,F,B,C,O,I,M,M,O,F,K,O,D,M
B,M,C,H,C,F,F,B,K,F,M,F,M,N,H,F
D,E,D,E,E,C,F,C,I,M,H,M,K,M,I,P
B,C,H,F,K,M,M,H,B,M,C,F,I,F,B,F
K,H,I,B,K,C,L,M,F,L,F,A,D,P,B,P
B,P,H,F,I,M,M,E,F,J,C,F,E,F,D,F
I,C,B,B,I,M,L,C,B,M,C,C,H,L,D,C
D,M,K,H,D,J,K,C,H,A,D,P,E,M,E,F
H,M,C,H,B,M,P,F,H,H,F,N,H,L,B,M
C,L,F,M,C,P,M,I,C,N,I,M,H,C,H,P
K,I,K,D,D,M,M,C,C,M,C,H,K,F,K,M
H,B,M,M,B,F,F,B,K,M,F,F,L,L,E,F
H,L,C,M,I,M,H,C,P,H,C,P,E,L,L,F
K,D,B,D,D,L,O,K,K,H,P,L,K,P,D,F
I,H,C,I,I,M,F,K,L,O,C,F,K,F,H,F
I,K,C,B,K,M,O,K,I,M,N,L,I,P,D,F
B,L,C,M,I,F,N,I,B,H,N,F,I,P,D,F
B,M,C,H,B,C,P,K,H,A,M,H,K,P,K,M
D,I,K,H,D,G,I,H,H,A,E,L,E,M,E,F
D,B,K,I,D,M,M,E,C,A,C,F,E,F,E,F
H,L,C,H,I,J,K,B,I,O,D,L,H,B,E,L
K,D,K,D,D,M,M,H,F,C,C,F,D,F,C,F
B,F,C,C,B,M,F,I,L,H,C,M,B,L,M,M
C,N,F,F,C,C,P,D,C,A,M,C,K,P,K,M
H,L,C,M,B,B,F,M,F,M,F,J,K,F,B,P
I,H,B,B,I,F,F,K,B,M,F,F,B,L,I,C
B,P,C,M,K,M,G,D,C,M,N,F,E,F,E,F
I,L,B,M,B,P,C,K,H,L,B,C,I,M,M,F
I,B,B,K,K,B,P,K,M,P,P,H,K,N,I,B
B,M,H,H,B,P,M,I,C,P,I,M,I,M,I,P
I,M,H,H,B,F,M,I,H,P,H,C,I,F,I,F
H,N,M,F,B,F,C,I,C,G,B,L,E,M,E,M
I,F,H,C,B,C,L,I,C,L,F,H,B,P,B,M
H,O,C,C,B,L,H,I,F,O,B,L,I,L,H,N
H,N,F,F,H,C,N,I,C,J,M,B,E,P,I,F
M,P,M,C,I,C,L,B,I,L,F,H,H,O,K,F
I,I,B,B,D,M,M,C,K,M,C,F,I,F,B,F
K,I,B,B,D,P,H,I,D,F,D,F,K,M,K,F
I,P,H,M,B,M,N,K,I,H,N,L,K,N,D,F
H,L,M,M,C,C,F,I,C,P,F,F,I,L,I,M
B,C,C,B,I,F,M,K,F,P,H,F,I,F,B,F
K,I,I,K,D,P,K,K,D,L,K,L,D,C,K,F
B,N,C,F,C,P,C,K,C,P,I,M,I,M,I,L
B,H,C,F,K,M,F,B,I,M,J,F,I,L,E,F
B,F,C,C,C,M,M,I,H,C,H,P,K,M,F,F
H,H,C,F,K,C,M,M,P,F,C,G,D,L,B,L
I,C,B,B,I,M,F,M,C,M,M,F,I,P,H,L
H,C,F,B,H,L,C,K,B,L,H,M,F,C,K,F
B,F,C,M,H,L,C,K,I,F,I,F,H,M,C,N
C,L,L,F,L,C,M,K,B,M,B,L,M,H,P,P
I,M,B,H,B,M,C,H,B,M,M,N,C,H,D,P
I,N,B,F,K,P,C,D,F,N,I,C,E,M,D,M
B,L,H,M,K,M,M,B,J,L,C,F,E,F,F,F
B,F,C,C,H,B,N,B,H,N,L,H,E,P,I,M
M,L,M,P,F,F,L,M,K,M,M,N,B,P,F,C
F,J,M,F,I,F,I,I,H,O,B,A,I,M,C,F
K,H,I,B,I,M,M,H,H,C,C,C,K,F,H,L
M,L,M,H,B,M,M,K,L,O,C,F,I,M,C,C
C,P,F,M,L,F,F,H,C,C,M,L,F,M,L,H
D,I,K,D,D,H,F,K,M,P,F,L,D,F,I,M
I,L,B,C,D,M,M,B,B,M,C,F,I,F,B,F
B,B,C,I,I,M,M,D,F,N,M,L,K,F,I,F
B,H,H,B,I,M,M,C,M,L,C,N,K,P,H,L
B,N,B,F,I,E,K,B,C,D,E,F,E,F,E,F
K,D,I,K,K,M,M,H,B,M,C,L,I,C,B,L
M,A,F,M,B,M,F,K,F,N,C,F,B,F,B,M
D,D,D,I,E,M,M,D,F,M,C,F,E,F,I,F
K,H,I,I,D,C,B,D,F,M,K,P,E,M,K,F
I,H,H,I,K,B,O,I,I,L,N,M,K,N,D,F
F,J,F,F,C,B,F,D,I,F,L,F,P,N,K,C
I,F,B,C,K,H,C,P,F,H,H,H,I,F,B,F
B,N,C,F,B,O,I,I,I,L,D,L,K,C,I,F
I,M,H,H,B,M,B,M,B,M,H,P,K,F,I,L
I,C,H,B,K,P,P,K,C,I,N,F,D,N,K,L
K,M,I,B,D,H,J,D,C,L,N,M,E,F,E,F
B,C,H,B,H,M,F,B,C,M,C,F,H,M,H,C
F,O,M,C,H,M,C,I,I,F,H,M,B,L,L,M
I,H,B,B,I,F,C,B,I,H,M,M,I,L,D,M
H,F,F,C,B,F,F,D,F,N,B,M,B,L,B,F
I,L,B,C,B,M,C,M,C,C,H,F,D,M,C,N
H,N,C,F,K,I,M,F,K,M,C,N,B,F,K,N
B,P,M,F,M,M,M,K,C,M,C,F,B,F,M,M
I,B,H,I,K,M,L,K,H,P,C,C,H,L,D,M
H,L,H,M,I,M,M,G,K,B,C,F,C,F,E,F
H,F,C,C,H,F,F,H,C,P,H,B,B,L,B,L
I,P,H,M,D,M,G,E,C,M,N,F,E,F,E,F
H,M,F,H,B,M,F,K,M,P,C,F,I,F,I,M
D,P,E,F,D,M,M,H,I,M,C,F,E,F,E,F
K,D,B,K,D,F,K,K,K,F,D,F,K,C,K,M
H,C,M,H,C,C,C,I,H,M,F,P,F,N,I,F
B,L,H,M,I,C,B,B,F,H,K,C,D,C,K,C
H,N,C,F,H,H,H,C,M,M,H,O,K,P,B,L
B,L,C,M,H,L,M,K,M,N,H,F,I,M,C,P
K,B,I,K,D,M,F,C,C,M,L,F,I,L,D,F
K,I,I,K,K,M,M,C,B,L,C,F,K,F,K,F
K,E,K,D,E,M,M,N,E,H,C,F,B,F,E,F
I,I,H,K,K,L,M,K,F,N,B,M,K,F,I,F
B,I,B,D,K,I,N,I,K,P,P,F,C,N,D,M
L,J,C,F,I,P,B,H,H,A,I,F,I,M,H,P
K,I,K,D,D,F,M,C,B,L,C,F,K,F,I,F
E,E,D,D,E,O,B,H,I,O,B,N,E,M,E,F
F,N,M,F,H,I,N,D,I,F,P,M,C,N,K,M
B,P,C,F,B,H,L,E,M,F,O,L,D,N,K,M
D,E,K,E,E,F,P,I,D,C,O,F,D,N,E,F
B,L,H,M,C,M,F,C,C,F,M,H,I,F,I,M
I,M,H,H,B,L,C,M,H,M,C,F,I,F,B,H
D,P,K,F,I,M,M,E,M,M,C,F,E,F,I,F
H,F,H,C,B,F,C,N,B,F,A,M,I,L,E,F
K,L,I,C,K,C,F,E,M,J,M,F,E,F,D,M
I,I,B,D,K,B,P,I,K,L,L,M,H,P,D,C
H,M,C,L,C,F,H,F,B,C,H,L,B,F,C,L
B,P,H,M,K,M,M,H,B,M,C,F,I,F,B,F
H,N,M,F,H,M,B,I,E,M,D,F,I,F,I,M
I,H,H,B,K,M,M,I,F,N,H,M,D,F,B,F
D,I,K,K,D,M,M,H,F,C,C,F,K,F,M,F
D,I,D,K,D,F,M,D,M,M,C,M,E,F,K,M
K,D,B,K,K,M,M,C,C,C,C,P,K,L,B,L
I,H,B,B,K,C,F,C,M,M,L,L,I,L,D,F
C,N,F,F,H,F,M,I,C,P,H,M,K,F,H,F
I,B,H,K,K,M,M,K,F,N,M,L,K,F,B,F
I,F,H,H,D,C,C,I,D,C,E,F,K,C,D,M
H,L,M,M,C,M,L,H,C,P,C,C,I,F,M,F
C,F,L,M,P,L,F,H,B,M,C,M,A,P,M,H
D,E,K,E,E,H,N,C,D,L,C,H,D,L,I,F
C,N,M,F,H,C,M,M,M,P,F,P,K,F,H,L
B,L,H,M,K,H,M,M,P,M,C,J,D,F,B,L
K,B,B,C,D,M,J,E,C,M,N,F,E,F,E,F
B,H,C,C,C,L,L,C,B,M,M,M,H,N,C,B
H,F,C,C,M,H,M,I,C,M,C,L,H,F,H,M
B,M,C,H,I,C,C,C,F,C,H,L,I,P,B,F
I,B,I,M,K,I,M,C,P,M,C,G,E,F,M,M
B,L,H,C,K,I,O,F,D,P,C,I,D,P,B,F
I,H,H,I,I,C,M,C,C,M,C,L,I,F,I,F
H,F,C,C,B,C,C,M,C,C,C,N,K,F,B,L
H,P,M,M,L,F,M,B,I,C,M,F,F,F,F,F
I,H,H,B,B,L,C,I,C,N,B,M,B,M,H,L
K,D,I,K,D,F,C,C,C,C,H,L,D,M,C,P
C,L,F,F,F,C,F,H,M,H,I,C,H,L,F,H
B,L,C,C,B,B,F,D,F,P,P,P,K,F,I,H
B,P,C,F,H,M,N,K,M,M,N,F,D,O,D,M
B,H,B,M,K,I,A,F,D,N,C,I,D,P,B,F
K,I,B,K,K,H,F,K,F,N,F,L,K,F,B,C
C,C,F,L,F,M,L,I,K,F,F,C,F,N,C,H
B,B,H,I,K,H,F,H,F,P,F,F,I,L,K,H
B,L,B,M,K,F,L,K,B,A,B,H,D,F,C,F
H,P,C,M,C,F,M,C,M,M,C,H,K,F,M,P
I,F,B,C,B,M,M,F,B,M,H,F,I,F,K,M
H,N,F,F,P,L,H,H,H,M,M,M,M,L,F,L
L,N,L,F,M,B,F,H,F,L,M,L,C,F,B,I
H,P,C,F,H,M,M,H,F,H,C,N,D,P,P,L
B,F,H,C,K,F,H,A,H,C,G,F,I,L,E,F
H,C,M,H,F,C,M,C,H,C,H,F,F,P,F,P
K,D,K,K,K,M,F,H,H,C,H,M,K,M,B,F
M,P,F,F,B,K,L,H,L,N,N,A,D,M,I,C
K,B,B,I,K,C,P,K,C,A,M,H,D,P,D,M
K,I,I,B,K,F,M,H,F,B,C,F,E,F,F,F
K,D,K,D,D,M,M,N,D,H,C,F,B,F,E,F
F,P,F,M,C,B,F,H,F,L,F,P,C,F,B,I
B,L,B,M,K,F,M,C,L,B,C,F,E,F,L,M
I,C,H,B,I,C,F,D,F,P,F,L,K,F,I,C
K,D,K,D,D,M,M,C,C,M,C,H,K,F,K,M
D,D,K,K,D,P,C,I,H,O,H,L,D,M,D,M
H,N,M,F,F,H,M,H,B,M,H,F,B,C,P,F
B,L,I,B,K,C,L,H,I,F,H,C,B,L,H,F
F,P,F,F,C,M,P,K,F,N,L,H,I,P,H,B
H,N,M,L,H,P,K,K,I,L,D,M,I,M,B,F
L,J,M,F,H,M,L,H,H,P,C,P,I,F,M,P
M,N,C,C,I,H,F,I,L,P,L,P,B,M,B,H
C,P,M,C,H,F,M,I,H,P,M,M,M,N,H,F
D,H,K,B,D,M,M,E,M,A,C,F,E,F,D,M
I,H,B,B,K,F,M,I,M,P,C,F,D,L,H,F
H,N,M,L,C,L,M,H,M,P,H,H,I,F,I,F
H,L,C,F,H,F,M,M,H,C,F,F,I,F,H,P
I,L,H,C,B,F,F,I,F,C,C,C,I,L,C,M
D,D,K,K,E,P,C,K,H,O,B,L,E,M,D,M
D,M,E,B,E,M,M,B,B,M,C,F,E,F,E,F
I,K,B,I,K,M,F,H,B,F,M,M,H,F,I,C
H,P,C,F,B,M,M,O,K,M,L,F,L,C,E,F
I,L,B,M,I,M,M,B,B,M,C,F,K,F,B,F
I,M,B,H,I,C,M,M,C,F,M,N,K,F,B,L
C,N,L,F,O,F,F,B,B,C,M,F,P,C,F,F
C,P,M,F,B,B,F,C,F,L,L,L,I,P,K,H
K,K,I,B,K,C,F,F,M,L,F,O,D,P,B,P
